Unnamed: 0,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
944,PSYCHO CRUISE,ONIMXRU,gym phonk,2022,2024‑02‑02,120,76,-11,7,88,151,0,5,72
945,THE AUTOTREM 1.0,DJ RICK 013,funk carioca,2023,2024‑02‑02,130,93,0,20,53,149,11,31,73
946,AREAMATE MIZ,Anar,,2023,2024‑02‑02,120,91,-5,19,70,76,7,15,68
947,YUMMI,LXNGVX,gym phonk,2023,2024‑02‑02,130,81,-3,17,55,96,65,5,79
948,Broken Trust,SAY3AM,,2023,2024‑02‑02,115,86,-7,26,22,138,0,7,73
949,OneShot,msht,,2023,2024‑02‑02,113,100,-3,32,4,153,0,7,74
950,COWBELL GOTH,DRAGONMANE,memphis phonk,2022,2024‑02‑02,143,97,-12,41,34,141,73,44,71
951,POOR,gqtis,gym phonk,2022,2024‑02‑02,120,46,-6,15,53,160,6,9,74
952,BREEZY,NUEKI,phonk brasileiro,2024,2024‑02‑02,195,97,0,25,39,91,3,28,54
953,TREINAMENTO DE FORÇA,TRXVELER,,2023,2024‑02‑02,130,96,-1,80,55,126,0,5,76
954,AVOID ME,KUTE,aggressive phonk,2022,2024‑02‑02,114,96,-2,78,97,106,12,10,75
955,Override,KSLV Noh,drift phonk,2021,2024‑02‑02,111,76,-5,18,54,115,0,16,75
956,Robot Rock (Funk),DJ Paulinho Mondi Da Baixa Baviera,,2023,2024‑02‑02,136,55,-3,9,83,154,0,25,13
957,BIBI PHONK BR,Bibi Babydoll,latin tek,2023,2024‑02‑02,150,98,0,34,86,120,21,27,77
958,WAKE UP!,MoonDeity,,2022,2024‑02‑02,125,62,-5,23,72,143,0,4,78
959,ultraphunk,dashie,dariacore,2023,2024‑02‑02,117,99,1,17,59,115,2,20,77
960,The Automotivo Infernal 1.0 - Purple,MRL,funk carioca,2023,2024‑02‑02,140,91,-2,21,62,115,4,21,74
961,Ashi Ashi,6YNTHMANE,gym phonk,2024,2024‑02‑02,126,99,-2,49,49,110,37,37,55
962,Mexican Phonk Eki,NUEKI,phonk brasileiro,2023,2024‑02‑02,129,96,-4,50,36,98,1,11,76
963,Close Eyes,DVRST,chill phonk,2021,2024‑02‑02,96,57,-10,14,21,132,7,6,81
964,RITMADINHA DANÇANTE,DJ GUDOG,phonk brasileiro,2023,2024‑02‑02,195,66,-5,11,66,126,79,41,76
965,krushed!,$werve,aggressive phonk,2024,2024‑02‑02,110,95,-2,17,35,98,0,4,68
966,Sahara,Hensonn,drift phonk,2021,2024‑02‑02,115,52,-9,11,5,171,15,3,77
967,Crystals,Isolate.exe,,2022,2024‑02‑02,100,73,-10,9,13,139,44,6,77
968,MIDNIGHT,PLAYAMANE,drift phonk,2022,2024‑02‑02,122,43,-9,14,37,122,1,23,77
969,Brazilian Phonk Mano,Slowboy,phonk brasileiro,2023,2024‑02‑02,130,88,-3,11,81,85,0,12,77
970,SUNRISE (Slowed + Reverb),Xantesha,gym phonk,2022,2024‑02‑02,120,93,-8,20,26,139,6,4,76
971,vendetta!,MUPP,drift phonk,2022,2024‑02‑02,126,91,-4,11,67,107,18,15,79
972,Live Another Day,Kordhell,drift phonk,2021,2024‑02‑02,115,98,-1,9,40,134,0,11,79
973,Sea Of Problems,glichery,,2023,2024‑02‑02,128,68,-11,10,87,111,0,3,79
974,MONTAGEM - MELODIA ENVOLVENTE 4,DJ Dudah,phonk brasileiro,2023,2024‑02‑02,130,72,-9,14,76,251,6,5,73
975,MANDA BALA,Ariis,gym phonk,2023,2024‑02‑02,129,88,1,13,31,100,15,7,80
976,BRODYAGA FUNK,Eternxlkz,,2023,2024‑02‑02,130,74,-3,29,59,135,27,4,75
977,Scopin,Kordhell,drift phonk,2022,2024‑02‑02,98,97,-2,3,64,102,7,6,75
978,YUM YUM,LXNGVX,funk carioca,2023,2024‑02‑02,130,90,-2,8,16,130,32,34,79
979,RAPTURE,INTERWORLD,phonk brasileiro,2022,2024‑02‑02,105,68,-5,10,29,165,1,4,78
980,GigaChad Theme - Phonk House Version,g3ox_em,,2022,2024‑02‑02,128,50,-6,19,58,146,0,4,81
981,NEON BLADE,MoonDeity,,2022,2024‑02‑02,95,100,-2,60,89,265,3,11,78
982,DEMONS IN MY SOUL,SCXR SOUL,drift phonk,2022,2024‑02‑02,100,43,-3,30,42,121,2,5,79
983,GHOST!,phonk.me,gym phonk,2022,2024‑02‑02,125,94,-3,20,41,232,2,10,78
984,Life in Rio,Slowboy,phonk brasileiro,2023,2024‑02‑02,129,97,-2,45,70,94,0,4,80
985,SHADOW,ONIMXRU,gym phonk,2022,2024‑02‑02,120,69,-3,10,53,162,0,4,77
986,Sleepwalker,akiaura,dreampunk,2023,2024‑02‑02,120,80,-5,61,15,212,0,3,81
987,RAVE,Dxrk ダーク,drift phonk,2022,2024‑02‑02,120,75,-6,11,34,169,24,4,81
988,TUCA DONKA,CURSEDEVIL,gym phonk,2023,2024‑02‑02,130,96,-3,30,73,76,12,4,84
989,FRESH,NXVAMANE,,2023,2024‑02‑02,130,99,0,24,94,69,1,23,80
990,BAIXO,xxanteria,,2023,2024‑02‑02,133,87,-7,12,70,104,3,4,78
991,Orquestra Maldita,TRASHXRL,funk mandelao,2023,2024‑02‑02,130,99,0,9,85,120,24,6,80
992,Memory Reboot,VØJ,traprun,2023,2024‑02‑02,81,89,-6,13,46,209,0,4,83
993,Sequência da Dz7,TRASHXRL,phonk brasileiro,2023,2024‑02‑02,130,99,1,11,79,119,47,18,81
994,BRAZILIAN DANÇA PHONK,6YNTHMANE,gym phonk,2023,2024‑02‑02,126,99,-2,27,39,118,30,15,83
995,Montagem Mysterious Game,LXNGVX,,2023,2024‑02‑02,130,64,-10,16,22,103,15,10,84
996,Automotivo Bibi Fogosa,Bibi Babydoll,latin tek,2023,2024‑02‑02,135,87,-3,10,73,130,20,3,85
997,METAMORPHOSIS,INTERWORLD,phonk brasileiro,2021,2024‑02‑02,175,64,-13,12,15,143,43,10,87
998,LOVELY BASTARDS,ZWE1HVNDXR,gym phonk,2023,2024‑02‑02,150,81,-6,14,69,116,83,49,87
999,9mm,Memphis Cult,memphis phonk,2023,2024‑02‑02,155,92,-3,8,30,87,0,4,86
