Unnamed: 0,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
552,Rush,Troye Sivan,australian pop,2023,2024‑02‑02,126,85,-8,10,35,156,0,6,61
553,Area Codes,Kaliii,rap,2023,2024‑02‑02,155,39,-11,9,51,139,2,49,80
554,What It Is (Solo Version),Doechii,alternative r&b,2023,2024‑02‑02,172,76,-6,10,76,190,6,9,84
555,act ii: date @ 8,4batz,,2023,2024‑02‑02,139,42,-13,7,75,159,44,5,87
556,I Wanna Be Yours,Arctic Monkeys,garage rock,2013,2024‑02‑02,68,42,-9,10,48,184,14,3,96
557,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,gen z singer-songwriter,2022,2024‑02‑02,101,55,-5,20,34,176,78,3,90
558,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,canadian contemporary r&b,2023,2024‑02‑02,88,64,-6,16,20,245,5,3,98
559,Wake Me Up Before You Go-Go,Wham!,new romantic,1984,2024‑02‑02,82,57,-12,6,90,231,27,4,83
560,Flashdance...What a Feeling - Radio Edit,Irene Cara,disco,1983,2024‑02‑02,122,65,-7,9,40,237,1,3,81
561,Party Rock Anthem,LMFAO,dance pop,2011,2024‑02‑02,130,74,-4,27,35,262,2,16,77
562,Give It To Me,Timbaland,dance pop,2007,2024‑02‑02,111,71,-4,8,82,234,17,6,79
563,Dynamite,Taio Cruz,dance pop,2010,2024‑02‑02,120,78,-4,4,82,203,0,9,79
564,The Nights,Avicii,dance pop,2014,2024‑02‑02,126,84,-5,25,65,177,2,4,88
565,Believe,Cher,dance pop,1998,2024‑02‑02,133,92,-7,5,46,239,1,5,81
566,Livin' On A Prayer,Bon Jovi,glam metal,1986,2024‑02‑02,123,89,-4,29,80,249,8,3,88
567,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,2024‑02‑02,160,82,-5,9,96,233,22,18,83
568,Lady - Hear Me Tonight,Modjo,disco house,2001,2024‑02‑02,126,81,-6,6,87,307,1,4,82
569,Toxic,Britney Spears,dance pop,2003,2024‑02‑02,143,84,-4,24,92,199,2,11,86
570,Mambo No. 5 (a Little Bit of...),Lou Bega,latin pop,1999,2024‑02‑02,174,81,-7,31,89,220,10,41,80
571,Billie Jean,Michael Jackson,r&b,2008,2024‑02‑02,117,65,-3,4,85,294,2,4,84
572,Take on Me,a-ha,new romantic,1985,2024‑02‑02,84,90,-8,9,88,225,2,5,90
573,Girls Just Want to Have Fun,Cyndi Lauper,dance pop,1983,2024‑02‑02,120,80,-5,35,73,238,22,3,84
574,We Found Love,Rihanna,barbadian pop,2011,2024‑02‑02,128,77,-4,11,60,215,3,4,82
575,Levels - Radio Edit,Avicii,dance pop,2011,2024‑02‑02,126,89,-6,31,46,200,5,3,84
576,Yeah! (feat. Lil Jon & Ludacris),USHER,atl hip hop,2004,2024‑02‑02,105,79,-5,4,58,250,2,11,86
577,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,2024‑02‑02,128,87,-4,6,47,235,3,3,82
578,Walking On Sunshine,Katrina & The Waves,new wave pop,1985,2024‑02‑02,110,87,-12,7,94,239,1,4,82
579,Hey Ya!,Outkast,atl hip hop,2003,2024‑02‑02,80,97,-2,17,97,235,10,7,85
580,Dancing Queen,ABBA,europop,1976,2024‑02‑02,101,87,-7,79,75,230,36,4,88
