Name,Tags,Price,Review
Creeper World 4,Includes level editor,12.49,Overwhelmingly Positive
Catan Universe,Single-player,0.0,Mixed
Catan Universe,Online PvP,0.0,Mixed
Catan Universe,Cross-Platform Multiplayer,0.0,Mixed
Catan Universe,Steam Achievements,0.0,Mixed
Catan Universe,Steam Trading Cards,0.0,Mixed
Catan Universe,In-App Purchases,0.0,Mixed
Bully: Scholarship Edition,Single-player,14.99,Very Positive
Nucleares,Single-player,14.99,Very Positive
Nucleares,Steam Achievements,14.99,Very Positive
Pseudoregalia,Single-player,5.99,Overwhelmingly Positive
Lunch Lady,Single-player,2.39,Very Positive
Lunch Lady,Online Co-op,2.39,Very Positive
Lunch Lady,Steam Achievements,2.39,Very Positive
Lunch Lady,Steam Trading Cards,2.39,Very Positive
Lunch Lady,Steam Cloud,2.39,Very Positive
Lunch Lady,Stats,2.39,Very Positive
Lunch Lady,Steam Leaderboards,2.39,Very Positive
Mad Games Tycoon 2,Single-player,8.49,Very Positive
Mad Games Tycoon 2,Online PvP,8.49,Very Positive
Mad Games Tycoon 2,LAN PvP,8.49,Very Positive
Mad Games Tycoon 2,Steam Achievements,8.49,Very Positive
Mad Games Tycoon 2,Steam Cloud,8.49,Very Positive
STAR WARS™ - X-Wing Special Edition,Single-player,2.02,Mostly Positive
STAR WARS™ - X-Wing Special Edition,Steam Cloud,2.02,Mostly Positive
"Warhammer 40,000: Space Marine - Anniversary Edition",Single-player,49.99,Very Positive
"Warhammer 40,000: Space Marine - Anniversary Edition",Steam Achievements,49.99,Very Positive
"Warhammer 40,000: Space Marine - Anniversary Edition",Steam Leaderboards,49.99,Very Positive
"Warhammer 40,000: Space Marine - Anniversary Edition",Remote Play on TV,49.99,Very Positive
Visage,Single-player,34.99,Very Positive
Visage,Steam Achievements,34.99,Very Positive
Visage,Steam Cloud,34.99,Very Positive
Visage,Remote Play on TV,34.99,Very Positive
Clone Drone in the Danger Zone,Single-player,19.99,Overwhelmingly Positive
Clone Drone in the Danger Zone,Online PvP,19.99,Overwhelmingly Positive
Clone Drone in the Danger Zone,Online Co-op,19.99,Overwhelmingly Positive
Clone Drone in the Danger Zone,Cross-Platform Multiplayer,19.99,Overwhelmingly Positive
Clone Drone in the Danger Zone,Steam Achievements,19.99,Overwhelmingly Positive
Clone Drone in the Danger Zone,Captions available,19.99,Overwhelmingly Positive
Clone Drone in the Danger Zone,Steam Workshop,19.99,Overwhelmingly Positive
Clone Drone in the Danger Zone,Steam Cloud,19.99,Overwhelmingly Positive
Clone Drone in the Danger Zone,Includes level editor,19.99,Overwhelmingly Positive
Unnamed Space Idle,Single-player,0.0,Very Positive
Unnamed Space Idle,Steam Achievements,0.0,Very Positive
