Name,Genre,Price,Review
Summoners War: Chronicles,Massively Multiplayer,0.0,Mostly Positive
Summoners War: Chronicles,RPG,0.0,Mostly Positive
Summoners War: Chronicles,Strategy,0.0,Mostly Positive
Summoners War: Chronicles,Free to Play,0.0,Mostly Positive
Witch It,Action,2.09,Very Positive
Witch It,Casual,2.09,Very Positive
Witch It,Indie,2.09,Very Positive
Russian Fishing 4,Adventure,0.0,Mostly Positive
Russian Fishing 4,Casual,0.0,Mostly Positive
Russian Fishing 4,Massively Multiplayer,0.0,Mostly Positive
Russian Fishing 4,RPG,0.0,Mostly Positive
Russian Fishing 4,Simulation,0.0,Mostly Positive
Russian Fishing 4,Sports,0.0,Mostly Positive
Russian Fishing 4,Free to Play,0.0,Mostly Positive
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",Action,0.67,Very Positive
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",Indie,0.67,Very Positive
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",Massively Multiplayer,0.67,Very Positive
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",RPG,0.67,Very Positive
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",Simulation,0.67,Very Positive
It Takes Two,Action,39.99,Overwhelmingly Positive
It Takes Two,Adventure,39.99,Overwhelmingly Positive
Train Sim World® 4,Simulation,19.16,Mostly Positive
港詭實錄ParanormalHK,Adventure,6.49,Very Positive
港詭實錄ParanormalHK,Indie,6.49,Very Positive
Bendy and the Dark Revival,Action,5.99,Very Positive
Bendy and the Dark Revival,Adventure,5.99,Very Positive
Bloons TD 6,Strategy,7.79,Overwhelmingly Positive
"Warhammer 40,000: Rogue Trader",Adventure,24.99,Mostly Positive
"Warhammer 40,000: Rogue Trader",Indie,24.99,Mostly Positive
"Warhammer 40,000: Rogue Trader",RPG,24.99,Mostly Positive
"Warhammer 40,000: Rogue Trader",Strategy,24.99,Mostly Positive
Cities: Skylines,Simulation,17.99,Very Positive
Cities: Skylines,Strategy,17.99,Very Positive
Conqueror's Blade,Action,0.0,Mixed
Conqueror's Blade,Massively Multiplayer,0.0,Mixed
Conqueror's Blade,RPG,0.0,Mixed
Conqueror's Blade,Strategy,0.0,Mixed
Conqueror's Blade,Free to Play,0.0,Mixed
Lies of P,Action,35.99,Very Positive
Lies of P,Adventure,35.99,Very Positive
Lies of P,RPG,35.99,Very Positive
Garry's Mod,Casual,5.79,Overwhelmingly Positive
Garry's Mod,Indie,5.79,Overwhelmingly Positive
Garry's Mod,Simulation,5.79,Overwhelmingly Positive
Moonbreaker,Action,11.24,Very Positive
Moonbreaker,Strategy,11.24,Very Positive
Pathfinder: Wrath of the Righteous - Enhanced Edition,Adventure,5.99,Very Positive
Pathfinder: Wrath of the Righteous - Enhanced Edition,Indie,5.99,Very Positive
Pathfinder: Wrath of the Righteous - Enhanced Edition,RPG,5.99,Very Positive
Pathfinder: Wrath of the Righteous - Enhanced Edition,Strategy,5.99,Very Positive
Winter Memories,Adventure,2.0,Overwhelmingly Positive
Winter Memories,Casual,2.0,Overwhelmingly Positive
Winter Memories,RPG,2.0,Overwhelmingly Positive
Winter Memories,Simulation,2.0,Overwhelmingly Positive
Thymesia,Action,7.49,Very Positive
"Warhammer 40,000: Inquisitor - Martyr",Action,4.59,Mostly Positive
"Warhammer 40,000: Inquisitor - Martyr",Adventure,4.59,Mostly Positive
"Warhammer 40,000: Inquisitor - Martyr",Indie,4.59,Mostly Positive
"Warhammer 40,000: Inquisitor - Martyr",RPG,4.59,Mostly Positive
STAR WARS™ Empire at War - Gold Pack,Strategy,3.67,Overwhelmingly Positive
Captain of Industry,Indie,9.59,Very Positive
Captain of Industry,Simulation,9.59,Very Positive
Captain of Industry,Strategy,9.59,Very Positive
Captain of Industry,Early Access,9.59,Very Positive
Albion Online,Massively Multiplayer,0.0,Mostly Positive
Albion Online,RPG,0.0,Mostly Positive
Albion Online,Free to Play,0.0,Mostly Positive
Planet Zoo,Casual,20.99,Very Positive
Planet Zoo,Simulation,20.99,Very Positive
Planet Zoo,Strategy,20.99,Very Positive
Sleeping Dogs: Definitive Edition,Action,2.39,Very Positive
Sleeping Dogs: Definitive Edition,Adventure,2.39,Very Positive
Sleeping Dogs: Definitive Edition,Racing,2.39,Very Positive
FINAL FANTASY VII EVER CRISIS,Adventure,0.0,Mixed
FINAL FANTASY VII EVER CRISIS,RPG,0.0,Mixed
Fallout: New Vegas,Action,1.49,Overwhelmingly Positive
Fallout: New Vegas,RPG,1.49,Overwhelmingly Positive
"STAR WARS™ Battlefront II (Classic, 2005)",Action,2.02,Very Positive
ARMORED CORE™ VI FIRES OF RUBICON™,Action,39.99,Very Positive
V Rising,Action,10.49,Very Positive
V Rising,Adventure,10.49,Very Positive
V Rising,Massively Multiplayer,10.49,Very Positive
V Rising,Early Access,10.49,Very Positive
World of Tanks,Action,0.0,Very Positive
World of Tanks,Massively Multiplayer,0.0,Very Positive
World of Tanks,Simulation,0.0,Very Positive
World of Tanks,Free to Play,0.0,Very Positive
Game of Thrones Winter is Coming,Massively Multiplayer,0.0,Mixed
Game of Thrones Winter is Coming,RPG,0.0,Mixed
Game of Thrones Winter is Coming,Simulation,0.0,Mixed
Game of Thrones Winter is Coming,Strategy,0.0,Mixed
