Name,Review,Genre,Tags,Developer,Publisher,Price,release_date,Total Number Of Reviews
Path of Exile,Very Positive,"['Action, Adventure, Indie, Massively Multiplayer, RPG, Free to Play']","['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Tablet']",Grinding Gear Games,Grinding Gear Games,0.0,2013-10-23,216193.0
Shadow of the Tomb Raider: Definitive Edition,Very Positive,"['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']",Eidos-Montréal,Crystal Dynamics,4.95,2018-09-14,54916.0
Raft,Very Positive,"['Adventure, Indie, Simulation']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']",Redbeet Interactive,Axolot Games,19.99,2022-06-20,255390.0
NBA 2K24,Mostly Negative,"['Simulation, Sports']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Remote Play Together']",Visual Concepts,2K,59.99,2023-09-08,14408.0
Stellaris,Very Positive,"['Simulation, Strategy']","['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",Paradox Development Studio,Paradox Interactive,23.99,2016-05-09,112669.0
GrandChase,Mixed,"['Action, Casual, Free to Play']",['In-App Purchases'],KOG,KOG,0.0,2021-07-28,21800.0
Age of Empires IV: Anniversary Edition,Very Positive,['Strategy'],"['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",Relic Entertainment,Xbox Game Studios,39.99,2021-10-28,47866.0
Overwatch® 2,Overwhelmingly Negative,"['Action, Free to Play']","['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']","Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.",0.0,2023-08-10,238614.0
Zombie Army 4: Dead War,Very Positive,['Action'],"['Single-player', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",Rebellion,Rebellion,7.49,2021-02-18,5943.0
Crusader Kings III,Very Positive,"['RPG, Simulation, Strategy']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']",Paradox Development Studio,Paradox Interactive,29.99,2020-09-01,66589.0
