Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator",Very Positive,(117),"['Action, Indie, Massively Multiplayer, RPG, Simulation']","['Single-player', 'Online Co-op']","['Action, Indie, Massively Multiplayer, RPG, Simulation']",Nils Jakrins,Excalibur Games,"15 May, 2023",https://store.steampowered.com/app/605740/Flashing_Lights__Police_Firefighting_Emergency_Services_EMS_Simulator/?snr=1_7_7_7000_150_12,$1.99
The Witness,Very Positive,(147),"['Adventure, Indie']","['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']","['Adventure, Indie']","Thekla, Inc.","Thekla, Inc.","26 Jan, 2016",https://store.steampowered.com/app/210970/The_Witness/?snr=1_7_7_7000_150_12,$39.99
Apocalypse Party,Mostly Positive,(224),"['Action, Casual, Indie, Strategy']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']","['Action, Casual, Indie, Strategy']",Breaker Games,Breaker Games,"1 Dec, 2023",https://store.steampowered.com/app/2351560/Apocalypse_Party/?snr=1_7_7_7000_150_12,$5.79
I Am Future: Cozy Apocalypse Survival,Very Positive,(67),"['Adventure, Simulation, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure, Simulation, Strategy, Early Access']",Mandragora,tinyBuild,"8 Aug, 2023",https://store.steampowered.com/app/1658040/I_Am_Future_Cozy_Apocalypse_Survival/?snr=1_7_7_7000_150_12,$7.99
Granado Espada,Mostly Positive,(12),"['Free to Play, Massively Multiplayer, RPG']","['MMO', 'Online PvP', 'Steam Trading Cards', 'In-App Purchases']","['Free to Play, Massively Multiplayer, RPG']","IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.","16 Oct, 2017",https://store.steampowered.com/app/663090/Granado_Espada/?snr=1_7_7_7000_150_12,Free
Animal Shelter,Very Positive,(87),"['Adventure, Casual, Indie, Simulation']","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Adventure, Casual, Indie, Simulation']",Games Incubator,Games Incubator,"23 Mar, 2022",https://store.steampowered.com/app/1239320/Animal_Shelter/?snr=1_7_7_7000_150_12,$19.99
Prehistoric Kingdom,Very Positive,(67),"['Indie, Simulation, Strategy, Early Access']","['Single-player', 'Steam Achievements', 'Steam Workshop']","['Indie, Simulation, Strategy, Early Access']",Blue Meridian,Crytivo,"27 Apr, 2022",https://store.steampowered.com/app/666150/Prehistoric_Kingdom/?snr=1_7_7_7000_150_12,$14.99
Mindustry,Overwhelmingly Positive,(241),['Strategy'],"['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor']",['Strategy'],AnukenDev,AnukenDev,"26 Sep, 2019",https://store.steampowered.com/app/1127400/Mindustry/?snr=1_7_7_7000_150_12,$9.99
Day of Dragons,Mostly Positive,(97),"['Indie, Massively Multiplayer, RPG, Simulation, Early Access']","['MMO', 'Online PvP', 'Online Co-op']","['Indie, Massively Multiplayer, RPG, Simulation, Early Access']",Beawesome Games,Beawesome Games,"5 Dec, 2019",https://store.steampowered.com/app/1088090/Day_of_Dragons/?snr=1_7_7_7000_150_12,$10.49
Surviving the Aftermath,Mostly Positive,(32),"['Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud']","['Simulation, Strategy']",Iceflake Studios,Paradox Interactive,"16 Nov, 2021",https://store.steampowered.com/app/684450/Surviving_the_Aftermath/?snr=1_7_7_7000_150_12,$17.99
