,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
85,Driftin' - Remastered,Herbie Hancock,contemporary post-bop,1962,2024‑02‑02,117,41,-10,8,58,418,70,4,43
86,Smoke Gets In Your Eyes,Clifford Brown,bebop,1993,2024‑02‑02,137,12,-14,16,48,196,96,4,44
87,Undecided,Erroll Garner,bebop,1998,2024‑02‑02,82,31,-14,12,70,162,89,4,44
88,When Sunny Gets Blue - Remastered,Nancy Wilson,vocal jazz,2005,2024‑02‑02,61,26,-12,16,27,179,90,3,44
89,Blue Moon,Carmen McRae,torch song,1956,2024‑02‑02,116,32,-11,21,47,154,51,4,44
90,I Love You,Milt Jackson,bebop,1964,2024‑02‑02,119,23,-20,9,52,277,80,5,44
91,Blue And Sentimental - Remastered 2007/Rudy Van Gelder Edition,Ike Quebec,jazz saxophone,2007,2024‑02‑02,101,18,-10,13,33,449,94,4,44
92,Don't Get Around Much Any More,Ben Webster,bebop,1954,2024‑02‑02,92,20,-12,18,55,186,82,4,44
93,If You Could See Me Now,Bill Evans Trio,bebop,1962,2024‑02‑02,62,12,-21,23,9,270,93,3,44
94,Comes Love,Irene Kral,,1959,2024‑02‑02,114,14,-12,16,27,153,72,4,45
95,It's Only A Paper Moon,Morgana King,vocal jazz,1958,2024‑02‑02,103,20,-12,12,45,162,84,6,45
96,Dear Kathy,Benny Golson,hard bop,2005,2024‑02‑02,132,3,-22,7,26,289,98,4,45
97,Play Ray,Lou Donaldson,bebop,1958,2024‑02‑02,78,21,-17,9,66,331,79,6,45
98,Ev'ry Time We Say Goodbye,Carmen McRae,torch song,1959,2024‑02‑02,137,6,-16,11,16,182,95,4,45
99,"There's A Boat That's Leavin' Soon For New York - From ""Porgy And Bess""",Shirley Horn,vocal jazz,1963,2024‑02‑02,71,20,-16,14,53,162,70,9,45
100,In Your Own Sweet Way,Phil Woods,contemporary post-bop,2005,2024‑02‑02,126,35,-9,10,28,484,61,4,45
