Name,Review,Number Of Reviews,Genre,Tags,Dev_Info,Developer,Publisher,Release_Date,link,Price
BeamNG.drive,Overwhelmingly Positive,"(209,008)","['Racing, Simulation, Early Access']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together']","['Racing, Simulation, Early Access']",BeamNG,BeamNG,"29 May, 2015",https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_7000_150_1,$12.49
New World,Mostly Positive,"(233,209)","['Action, Adventure, Massively Multiplayer, RPG']","['MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'In-App Purchases']","['Action, Adventure, Massively Multiplayer, RPG']",Amazon Games,Amazon Games,"28 Sep, 2021",https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_7000_150_1,$39.99
Rise of the Tomb Raider™,Very Positive,"(99,178)","['Action, Adventure']","['Single-player', 'Steam Achievements', 'Tracked Controller Support', 'VR Supported', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Action, Adventure']",Crystal Dynamics,Crystal Dynamics,"9 Feb, 2016",https://store.steampowered.com/app/391220/Rise_of_the_Tomb_Raider/?snr=1_7_7_7000_150_1,$2.99
Escape the Backrooms,Very Positive,"(47,312)","['Indie, Early Access']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Tracked Controller Support', 'Steam Cloud']","['Indie, Early Access']",Fancy Games,Fancy Games,"11 Aug, 2022",https://store.steampowered.com/app/1943950/Escape_the_Backrooms/?snr=1_7_7_7000_150_1,$5.79
Hunt: Showdown,Mostly Positive,"(150,573)",['Action'],"['Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Leaderboards', 'Remote Play on Tablet', 'Remote Play on TV']",['Action'],Crytek,Crytek,"27 Aug, 2019",https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_7000_150_1,$18.99
Path of Exile,Very Positive,"(216,191)","['Action, Adventure, Indie, Massively Multiplayer, RPG, Free to Play']","['Single-player', 'MMO', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Tablet']","['Action, Adventure, Indie, Massively Multiplayer, RPG, Free to Play']",Grinding Gear Games,Grinding Gear Games,"23 Oct, 2013",https://store.steampowered.com/app/238960/Path_of_Exile/?snr=1_7_7_7000_150_1,Free
NBA 2K24,Mixed,"(14,408)","['Simulation, Sports']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Remote Play Together']","['Simulation, Sports']",Visual Concepts,2K,"8 Sep, 2023",https://store.steampowered.com/app/2338770/NBA_2K24/?snr=1_7_7_7000_150_1,$59.99
Shadow of the Tomb Raider: Definitive Edition,Very Positive,"(54,915)","['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Action, Adventure']",Eidos-Montréal,Crystal Dynamics,"14 Sep, 2018",https://store.steampowered.com/app/750920/Shadow_of_the_Tomb_Raider_Definitive_Edition/?snr=1_7_7_7000_150_1,$4.95
Stellaris,Very Positive,"(112,668)","['Simulation, Strategy']","['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Simulation, Strategy']",Paradox Development Studio,Paradox Interactive,"9 May, 2016",https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_7000_150_1,$23.99
Raft,Very Positive,"(255,389)","['Adventure, Indie, Simulation']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']","['Adventure, Indie, Simulation']",Redbeet Interactive,Axolot Games,"20 Jun, 2022",https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_7000_150_1,$19.99
Overwatch® 2,Mostly Negative,"(238,610)","['Action, Free to Play']","['Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']","['Action, Free to Play']","Blizzard Entertainment, Inc.","Blizzard Entertainment, Inc.","10 Aug, 2023",https://store.steampowered.com/app/2357570/Overwatch_2/?snr=1_7_7_7000_150_1,Free
Crusader Kings III,Very Positive,"(66,589)","['RPG, Simulation, Strategy']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on Tablet']","['RPG, Simulation, Strategy']",Paradox Development Studio,Paradox Interactive,"1 Sep, 2020",https://store.steampowered.com/app/1158310/Crusader_Kings_III/?snr=1_7_7_7000_150_1,$29.99
STAR WARS™: The Old Republic™,Very Positive,"(58,228)","['Massively Multiplayer, RPG, Free to Play']","['MMO', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']","['Massively Multiplayer, RPG, Free to Play']",Broadsword,Electronic Arts,"20 Dec, 2011",https://store.steampowered.com/app/1286830/STAR_WARS_The_Old_Republic/?snr=1_7_7_7000_150_1,Free
Age of Empires IV: Anniversary Edition,Very Positive,"(47,865)",['Strategy'],"['Single-player', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements']",['Strategy'],Relic Entertainment,Xbox Game Studios,"28 Oct, 2021",https://store.steampowered.com/app/1466860/Age_of_Empires_IV_Anniversary_Edition/?snr=1_7_7_7000_150_1,$39.99
GrandChase,Mostly Positive,"(21,800)","['Action, Casual, Free to Play']",['In-App Purchases'],"['Action, Casual, Free to Play']",KOG,KOG,"28 Jul, 2021",https://store.steampowered.com/app/985810/GrandChase/?snr=1_7_7_7000_150_1,Free
Zombie Army 4: Dead War,Very Positive,"(5,942)",['Action'],"['Single-player', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Steam Cloud', 'Steam Leaderboards']",['Action'],Rebellion,Rebellion,"18 Feb, 2021",https://store.steampowered.com/app/694280/Zombie_Army_4_Dead_War/?snr=1_7_7_7000_150_1,$7.49
SnowRunner,Very Positive,"(25,282)","['Adventure, Simulation']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']","['Adventure, Simulation']",Saber Interactive,Focus Entertainment,"18 May, 2021",https://store.steampowered.com/app/1465360/SnowRunner/?snr=1_7_7_7000_150_1,$20.99
FOR HONOR™,Mostly Positive,"(86,189)",['Action'],"['Single-player', 'Online PvP', 'Online Co-op', 'Steam Trading Cards', 'In-App Purchases']",['Action'],Ubisoft Montreal,Ubisoft,"14 Feb, 2017",https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_7000_150_1,$11.99
MARVEL SNAP,Mostly Positive,"(23,951)","['Casual, Strategy, Free to Play']","['Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']","['Casual, Strategy, Free to Play']","Second Dinner Studios, Inc.",Nuverse,"22 Aug, 2023",https://store.steampowered.com/app/1997040/MARVEL_SNAP/?snr=1_7_7_7000_150_1,Free
Squad,Mostly Positive,"(122,592)","['Action, Indie, Massively Multiplayer, Strategy']","['Online PvP', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled']","['Action, Indie, Massively Multiplayer, Strategy']",Offworld Industries,Offworld Industries,"23 Sep, 2020",https://store.steampowered.com/app/393380/Squad/?snr=1_7_7_7000_150_1,$22.99
Sid Meier’s Civilization® VI,Very Positive,"(215,721)",['Strategy'],"['Single-player', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Turn Notifications', 'Remote Play on Tablet', 'Remote Play Together']",['Strategy'],Firaxis Games,2K,"21 Oct, 2016",https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_7000_150_2,$59.99
FINAL FANTASY X/X-2 HD Remaster,Very Positive,"(14,303)",['RPG'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",['RPG'],Square Enix,Square Enix,"12 May, 2016",https://store.steampowered.com/app/359870/FINAL_FANTASY_XX2_HD_Remaster/?snr=1_7_7_7000_150_2,$9.59
Call of Duty®: Black Ops III,Very Positive,"(117,822)","['Action, Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Steam Leaderboards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","['Action, Adventure']",Treyarch,Activision,"6 Nov, 2015",https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_7000_150_2,$59.99
Mount & Blade II: Bannerlord,Very Positive,"(185,005)","['Action, Indie, RPG, Simulation, Strategy']","['Single-player', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet']","['Action, Indie, RPG, Simulation, Strategy']",TaleWorlds Entertainment,TaleWorlds Entertainment,"25 Oct, 2022",https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_7000_150_2,$19.99
Summoners War: Chronicles,Mixed,"(11,048)","['Action, Adventure, Massively Multiplayer, RPG, Strategy, Free to Play']","['MMO', 'Online PvP', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']","['Action, Adventure, Massively Multiplayer, RPG, Strategy, Free to Play']",Com2uS,Com2uS,"10 Nov, 2022",https://store.steampowered.com/app/2167580/Summoners_War_Chronicles/?snr=1_7_7_7000_150_2,Free
Witch It,Very Positive,"(12,981)","['Action, Casual, Indie']","['Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']","['Action, Casual, Indie']",Barrel Roll Games,Barrel Roll Games,"22 Oct, 2020",https://store.steampowered.com/app/559650/Witch_It/?snr=1_7_7_7000_150_2,$2.09
Cities: Skylines,Very Positive,"(186,442)","['Simulation, Strategy']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play on Tablet']","['Simulation, Strategy']",Colossal Order Ltd.,Paradox Interactive,"10 Mar, 2015",https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_7000_150_2,$17.99
